fetched from: https://autoconfig.thunderbird.net/v1.1/, updated at: 2025-01-23
domain;imap_host:imap_port;imap_login_template
kundenserver.de;imap.1und1.de:993,imap.kundenserver.de:993;%EMAILADDRESS%
quake.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
strato.de;imap.strato.de:993;%EMAILADDRESS%
jubiiconnect.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
bell.net;imap.bell.net:993;%EMAILADDRESS%
instructor.net;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
vittig.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
onsbrabantnet.nl;imap.kpnmail.nl:993,mail.onsbrabantnet.nl:993;%EMAILADDRESS%
teol.net;imap.teol.net:993;%EMAILADDRESS%
planet.nl;imap.kpnmail.nl:993;%EMAILADDRESS%
on.nl;imap.kpnmail.nl:993;%EMAILADDRESS%
kpnmail.nl;imap.kpnmail.nl:993;%EMAILADDRESS%
onsmail.nl;imap.kpnmail.nl:993;%EMAILADDRESS%
madonnafan.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
teachers.org;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
computer4u.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
legislator.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
gason.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
iversen.dk;imap.jubii.dk:993;%EMAILADDRESS%
virginmedia.com;imap.virginmedia.com:993;%EMAILADDRESS%
kabelmail.de;imap.vodafonemail.de:993;%EMAILADDRESS%
webhuset.no;imap.webhuset.no:993,mail.webhuset.no:993;%EMAILADDRESS%
petlover.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
dublin.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
clerk.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
hilarious.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
financier.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
wp.pl;imap.wp.pl:993,imap.wp.pl:993;%EMAILADDRESS%
count.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
yahoodns.net;imap.mail.yahoo.com:993;%EMAILADDRESS%
yahoo.com;imap.mail.yahoo.com:993;%EMAILADDRESS%
yahoo.com.br;imap.mail.yahoo.com:993;%EMAILADDRESS%
yahoo.fr;imap.mail.yahoo.com:993;%EMAILADDRESS%
yahoo.com.ar;imap.mail.yahoo.com:993;%EMAILADDRESS%
cox.net;imap.mail.yahoo.com:993,imap.cox.net:993;%EMAILADDRESS%
yandex.ua;imap.yandex.com:993;%EMAILADDRESS%
yahoo.com.au;imap.mail.yahoo.com:993;%EMAILADDRESS%
ziggomail.com;imap.ziggo.nl:993;%EMAILADDRESS%
ziggo.nl;imap.ziggo.nl:993;%EMAILADDRESS%
zohomail.com;imap.zoho.com:993;%EMAILADDRESS%
2senior.dk;imap.jubii.dk:993,mail.telenor.dk:143;%EMAILADDRESS%
heavymail.dk;imap.jubii.dk:993;%EMAILADDRESS%
as12bfb.com;imap.as12bfb.com:993;%EMAILADDRESS%
mail.com;imap.mail.com:143,imap.mail.com:993;%EMAILADDRESS%
mail.ru;imap.mail.ru:143,imap.mail.ru:993;%EMAILADDRESS%
ameritech.net;imap.mail.att.net:993;%EMAILADDRESS%
usa.com;imap.mail.com:143,imap.mail.com:993;%EMAILADDRESS%
rambler.ru;mail.rambler.ru:993,imap.rambler.ru:993;%EMAILADDRESS%
flash.net;imap.mail.att.net:993;%EMAILADDRESS%
xtra.co.nz;imap.xtra.co.nz:993;%EMAILADDRESS%
laposte.net;imap.laposte.net:993,imap.laposte.net:993;%EMAILADDRESS%
skynet.be;imap.proximus.be:993;%EMAILADDRESS%
email.com;imap.mail.com:143,imap.mail.com:993;%EMAILADDRESS%
alice.it;in.alice.it:143;%EMAILADDRESS%
email.it;imapmail.email.it:993,in.email.it:993;%EMAILADDRESS%
icloud.com;imap.mail.me.com:993,imap.mail.me.com:993;%EMAILADDRESS%
prodigy.net;imap.mail.att.net:993;%EMAILADDRESS%
xs4all.nl;mail.xs4all.nl:993,imap.kpnmail.nl:993;%EMAILADDRESS%
go2.pl;mail.go2.pl:993,poczta.o2.pl:993;%EMAILADDRESS%
peoplepc.com;imap.peoplepc.com:143;%EMAILADDRESS%
biglobe.ne.jp;mail.biglobe.ne.jp:993;%EMAILADDRESS%
