fetched from: https://autoconfig.thunderbird.net/v1.1/, updated at: 2025-01-25
domain;smtp_host:smtp_port,smtp_host:smtp_port,smtp_host:smtp_port;smtp_login_template
alumnidirector.com;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
a1.net;securemail.a1.net:587,bsmtp.a1.net:587,forschung.a1.net:587;%EMAILADDRESS%
amethyst.broba.cc;mail.broba.cc:587;%EMAILADDRESS%
123mail.dk;smtp.jubii.dk:465,mail.telenor.dk:587;%EMAILADDRESS%
archaeologist.com;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
artlover.com;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
arubapec.it;smtps.pec.aruba.it:465,safety21.pec.aruba.it:465;%EMAILADDRESS%
bemybaby.dk;smtp.jubii.dk:465;%EMAILADDRESS%
bigpond.net.au;smtp.telstra.com:465;%EMAILADDRESS%
biglobe.ne.jp;mail.biglobe.ne.jp:587,mail.biglobe.ne.jp:465;%EMAILADDRESS%
blader.com;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
brazilmail.com;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
bedstemail.dk;smtp.jubii.dk:465;%EMAILADDRESS%
bitnisse.dk;smtp.jubii.dk:465,mail.telenor.dk:587;%EMAILADDRESS%
bartender.net;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
cek.ne.jp;smtpa.cek.ne.jp:465;%EMAILADDRESS%
bay.wind.ne.jp;bay.wind.ne.jp:587;%EMAILADDRESS%
bellsouth.net;outbound.att.net:465;%EMAILADDRESS%
california.usa.com;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
birdlover.com;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
club-internet.fr;smtp.sfr.fr:465;%EMAILADDRESS%
buziaczek.pl;smtp.poczta.onet.pl:465,smtp.poczta.onet.pl:587;%EMAILADDRESS%
clerk.com;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
cc9.ne.jp;msa.cc9.ne.jp:465;%EMAILADDRESS%
centurylink.net;smtp.centurylink.net:587;%EMAILADDRESS%
contractor.net;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
cheerful.com;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
cs.com;smtp.aol.com:465;%EMAILADDRESS%
charter.net;mobile.charter.net:587;%EMAILADDRESS%
cybergal.com;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
dallasmail.com;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
cloudeu.xion.oxcs.net;smtp.eu.appsuite.cloud:587;%EMAILADDRESS%
coral.broba.ccv;mail.broba.cc:587;%EMAILADDRESS%
count.com;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
counsellor.com;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
diamond.broba.cc;mail.broba.cc:587;%EMAILADDRESS%
cty-net.com;smtps.cty-net.ne.jp:465,www1.cty-net.ne.jp:587;%EMAILADDRESS%
collector.org;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
comcast.net;smtp.comcast.net:465,smtp.comcast.net:587;%EMAILADDRESS%
e-mail.dk;smtp.jubii.dk:465;%EMAILADDRESS%
elvis.dk;smtp.jubii.dk:465,mail.telenor.dk:587;%EMAILADDRESS%
dan.wind.jp;dan.wind.ne.jp:587;%EMAILADDRESS%
cswnet.com;smtpauth.centurytel.net:587;%EMAILADDRESS%
cyberia.pl;smtp.poczta.onet.pl:465,smtp.poczta.onet.pl:587;%EMAILADDRESS%
elsker.dk;smtp.jubii.dk:465,mail.telenor.dk:587;%EMAILADDRESS%
feminin.dk;smtp.jubii.dk:465,mail.telenor.dk:587;%EMAILADDRESS%
freeler.nl;smtp.kpnmail.nl:465,smtp.kpnmail.nl:587;%EMAILADDRESS%
gaf-net.dk;smtp.jubii.dk:465;%EMAILADDRESS%
europemail.com;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
elvisfan.com;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
emailsrvr.com;secure.emailsrvr.com:465;%EMAILADDRESS%
fald.dk;smtp.jubii.dk:465,mail.telenor.dk:587;%EMAILADDRESS%
gmx.biz;mail.gmx.net:465;%EMAILADDRESS%
gadefejer.dk;smtp.jubii.dk:465,mail.telenor.dk:587;%EMAILADDRESS%
